group,revenue,time_on_site,visit_count
A,73.81,389.9,3
A,94.05,343.091,5
A,71.821,296.614,5
A,104.967,401.209,6
A,72.784,262.579,5
A,96.566,224.975,5
A,75.436,199.237,5
A,115.408,289.51,4
A,89.301,278.704,4
A,107.616,280.562,6
A,124.361,294.675,5
A,72.209,202.048,5
A,87.591,267.652,5
A,109.625,323.413,4
A,81.217,222.038,6
A,97.731,372.935,3
A,90.074,338.569,4
A,74.129,238.32,1
A,104.646,213.044,4
A,112.133,289.92,3
A,99.538,412.403,6
A,85.884,276.704,7
A,76.39,293.443,2
A,97.402,279.862,3
A,83.172,258.333,3
A,79.088,379.512,5
A,141.19,245.389,5
A,80.571,219.761,2
A,114.351,352.414,11
A,86.292,220.637,3
A,116.599,285.474,3
A,92.302,357.15,8
A,105.451,347.117,6
A,125.338,239.498,4
A,107.567,282.459,4
A,125.057,169.996,1
A,105.291,259.44,4
A,103.554,326.326,3
A,86.602,340.367,2
A,123.883,195.712,4
A,109.158,349.046,6
A,89.545,228.666,5
A,94.862,245.092,5
A,88.751,282.76,4
A,111.183,332.586,5
A,108.777,247.18,2
A,124.927,300.44,7
A,72.285,148.476,1
A,82.769,113.814,4
A,110.327,361.584,9
A,109.01,313.135,5
A,62.865,317.451,4
A,82.105,242.612,6
A,101.909,300.089,3
A,125.39,327.784,5
A,104.348,221.006,6
A,75.605,386.324,4
A,42.736,355.102,3
A,103.694,346.964,2
A,123.63,337.904,3
A,105.614,399.517,3
A,102.408,225.424,2
A,87.57,262.31,6
A,99.93,311.551,5
A,80.786,418.316,3
A,100.128,309.324,4
A,90.088,388.8,4
A,99.987,296.157,8
A,50.476,291.939,4
A,150.895,297.779,4
A,98.411,411.312,5
A,99.89,151.235,3
A,133.983,276.96,4
A,112.2,275.138,7
A,78.777,319.886,2
A,95.773,299.641,5
A,104.54,338.654,2
A,78.625,214.342,3
A,83.583,371.186,7
A,93.035,295.691,6
A,91.453,338.447,4
A,90.405,357.397,5
A,147.052,348.091,4
A,140.417,283.281,5
A,110.973,261.378,4
A,116.756,237.082,3
A,95.15,316.418,3
A,67.983,351.467,5
A,108.891,252.236,6
A,63.85,219.306,8
A,124.842,270.441,6
A,127.11,274.398,3
A,81.364,303.387,3
A,123.184,349.004,3
A,107.899,290.352,3
A,124.93,327.729,5
A,72.866,291.401,1
A,70.915,251.639,5
A,112.06,291.098,4
A,107.654,284.101,3
A,124.248,398.374,5
A,108.344,304.812,0
A,98.864,232.731,4
A,104.55,292.501,3
A,107.094,330.68,1
A,113.359,196.511,3
A,112.16,194.293,3
A,101.466,307.595,4
A,88.66,361.249,4
A,131.844,300.198,3
A,70.938,397.332,3
A,126.391,295.6,7
A,129.591,282.003,2
A,96.187,278.529,1
A,118.416,324.239,5
A,149.964,269.245,6
A,104.403,360.015,3
A,112.561,298.795,3
A,95.849,315.663,4
A,77.416,307.037,4
A,101.639,291.811,4
A,108.52,258.559,4
A,114.743,330.287,3
A,81.858,275.209,3
A,93.899,183.659,5
A,79.606,236.906,2
A,92.505,288.674,4
A,105.987,329.657,5
A,110.412,321.513,11
A,70.628,216.667,5
A,83.284,260.239,6
A,117.259,341.773,5
A,130.508,264.605,5
A,107.16,250.782,2
A,90.635,321.848,2
A,113.051,158.853,7
A,114.061,370.109,4
A,113.264,400.741,9
A,89.884,282.522,4
A,83.566,317.159,0
