version,converted,time_on_page,click_count
A,1,102.0,1
A,0,221.7,3
A,0,183.1,3
A,0,119.4,4
A,0,40.0,5
A,0,136.6,4
A,0,159.2,3
A,0,128.2,1
A,0,211.1,7
A,1,143.4,4
A,0,180.6,4
A,0,286.8,9
A,0,185.3,1
A,1,174.8,6
A,0,175.8,5
A,1,210.1,5
A,0,204.5,2
A,0,134.8,4
A,0,161.5,7
A,0,150.0,3
A,0,167.3,2
A,0,262.2,5
A,0,207.8,2
A,0,176.4,4
A,0,236.0,1
A,0,188.5,3
A,0,106.3,3
A,0,254.9,5
A,0,173.0,4
A,0,78.5,2
A,0,108.0,2
A,0,230.7,2
A,0,108.7,3
A,0,240.7,5
A,0,183.6,3
A,0,212.1,3
A,1,168.4,2
A,0,203.6,7
A,0,194.2,4
A,0,178.3,1
A,1,132.1,4
A,0,196.1,2
A,0,98.2,2
A,0,221.9,2
A,0,188.9,6
A,0,200.9,4
A,0,62.2,2
A,1,129.3,3
A,0,157.2,1
A,0,210.3,4
A,0,137.6,2
A,0,294.7,1
A,0,168.2,5
A,0,134.3,3
A,0,171.6,1
A,0,137.2,3
A,1,126.7,1
A,0,225.5,4
A,0,203.1,3
A,0,203.2,1
A,0,237.5,2
A,0,201.9,2
A,0,132.0,1
A,1,211.9,2
A,0,129.3,4
A,0,158.5,2
A,1,177.9,1
A,0,173.4,1
A,0,99.4,3
A,0,136.5,2
A,0,179.0,4
A,0,152.5,1
A,0,230.7,3
A,0,238.4,4
A,0,129.6,3
A,0,182.7,5
A,0,251.2,3
A,0,174.0,7
A,0,161.7,2
A,0,218.7,8
A,0,167.7,9
A,0,237.2,2
A,0,153.2,1
A,1,158.6,3
A,0,215.6,4
A,0,184.5,3
A,0,184.9,3
A,0,94.1,1
A,0,164.1,5
A,0,218.9,3
A,0,144.7,2
A,0,211.5,3
A,0,192.1,2
A,0,171.0,2
A,0,241.1,4
A,0,164.7,3
A,0,167.8,2
A,0,170.5,4
A,0,183.6,5
A,0,214.5,2
A,0,113.7,3
A,0,219.1,4
A,0,183.1,1
A,0,204.9,3
A,0,287.6,1
A,1,157.0,6
A,0,124.9,2
A,0,188.7,4
A,0,195.8,4
A,0,219.2,4
A,0,155.8,2
A,0,142.6,2
A,0,111.0,0
A,0,118.5,6
A,0,161.3,3
A,0,174.8,3
A,0,272.9,4
A,0,103.8,1
A,0,195.1,5
A,0,147.3,2
A,1,190.0,1
A,0,155.1,1
A,0,226.6,2
A,1,226.3,2
A,0,174.9,4
A,0,244.8,2
A,0,214.2,2
A,0,242.7,9
A,0,178.1,4
A,0,222.8,2
A,0,145.4,2
A,0,140.9,3
A,0,278.1,5
A,1,131.1,6
A,1,160.4,0
A,0,94.6,1
A,0,141.9,1
A,0,135.3,1
A,1,149.8,3
A,0,193.5,3
A,0,204.3,4
A,0,134.7,2
A,0,144.5,4
A,0,228.8,4
A,0,256.7,3
A,1,236.5,3
A,1,105.9,6
A,0,233.5,3
A,0,263.4,5
A,0,103.7,4
A,0,228.7,4
A,0,190.1,3
A,0,165.3,1
A,0,184.8,4
A,0,199.9,2
A,0,232.1,2
A,0,229.8,1
A,0,112.2,3
A,0,150.8,3
A,0,184.2,1
A,0,250.7,3
A,0,57.3,3
A,0,152.5,1
A,0,111.2,2
A,0,118.4,2
A,0,224.4,2
A,1,156.1,0
A,0,75.0,0
A,0,172.9,1
A,0,271.6,3
A,1,98.7,3
A,0,204.0,1
A,0,250.5,1
A,0,177.8,3
A,1,266.8,3
A,0,150.3,4
A,0,245.1,5
A,1,234.4,5
A,0,178.5,5
A,0,113.1,3
A,1,134.9,2
A,0,74.5,1
A,0,206.7,1
A,0,201.3,6
A,0,183.6,6
A,0,174.5,2
