channel,converted,revenue,user_type
A,0,89.69,returning
A,0,61.46,returning
A,0,151.75,returning
A,0,98.17,returning
A,0,146.61,new
A,0,218.5,new
A,0,133.52,new
A,1,125.38,returning
A,0,108.2,returning
A,0,127.39,new
A,0,68.59,new
A,0,62.41,returning
A,0,123.71,new
A,0,159.08,new
A,0,97.06,new
A,0,73.8,new
A,0,60.63,new
A,0,88.57,returning
A,1,112.53,returning
A,0,91.74,new
A,0,83.85,new
A,0,73.19,new
A,1,32.5,new
A,0,122.41,new
A,0,68.48,returning
A,0,105.15,returning
A,0,109.43,new
A,0,140.71,returning
A,0,46.63,new
A,0,90.57,returning
A,0,128.6,new
A,0,171.95,returning
A,0,145.2,new
A,0,67.73,new
A,0,143.34,new
A,0,64.22,returning
A,0,217.14,returning
A,0,85.69,new
A,0,59.07,returning
A,0,44.76,new
A,0,69.78,returning
A,0,68.08,returning
A,0,109.75,new
A,0,129.29,new
A,1,73.74,new
A,0,32.2,new
A,0,70.28,new
A,0,173.6,returning
A,0,127.56,returning
A,0,105.32,new
A,0,82.3,returning
A,0,126.51,returning
A,1,61.44,new
A,0,128.62,returning
A,0,111.7,returning
A,0,119.39,new
A,0,97.89,returning
A,1,54.72,new
A,0,62.09,new
A,0,113.9,new
A,0,109.62,returning
A,0,76.63,returning
A,0,76.05,new
A,1,141.23,new
A,0,93.28,new
A,0,68.41,returning
A,0,149.58,new
A,0,144.41,new
A,0,93.22,new
A,0,100.19,new
A,0,127.72,returning
A,0,116.84,returning
A,1,53.99,new
A,0,151.41,returning
A,0,50.01,returning
A,0,109.24,new
A,0,58.39,new
A,0,116.76,returning
A,0,71.21,new
A,0,73.01,returning
A,0,125.05,new
A,0,58.38,returning
A,1,76.58,new
A,0,59.2,new
A,0,97.51,new
A,0,202.38,new
A,0,58.79,returning
A,0,105.87,returning
A,0,143.71,new
A,0,40.6,new
A,0,71.34,new
A,0,61.27,new
A,0,54.36,returning
A,0,104.85,new
A,0,100.4,returning
A,0,151.06,new
A,0,120.17,new
A,0,95.05,returning
A,0,103.13,returning
A,0,76.52,new
A,0,104.37,returning
A,0,50.22,returning
A,0,88.47,new
A,0,110.42,new
A,0,86.75,new
A,0,72.37,new
A,0,96.61,returning
A,0,68.32,new
A,1,84.83,new
A,1,124.42,new
A,0,127.3,new
A,0,101.19,new
A,0,63.36,returning
A,0,81.81,returning
A,0,97.26,returning
A,0,71.07,returning
A,0,166.16,new
A,0,71.66,returning
A,0,94.87,returning
A,0,45.65,new
A,0,130.23,new
A,0,156.05,new
A,0,62.85,new
A,0,50.81,new
A,1,100.74,new
A,0,173.62,new
A,0,53.86,returning
A,0,82.93,new
A,1,103.9,new
A,0,96.41,returning
A,0,109.77,returning
A,0,147.69,new
A,0,131.19,new
A,0,82.26,new
A,0,53.54,returning
A,0,134.82,returning
A,0,82.83,new
A,0,95.95,returning
A,0,126.25,returning
A,0,133.28,returning
A,0,123.6,new
A,0,162.7,returning
A,0,27.56,new
A,0,92.17,new
A,1,73.31,new
A,0,65.53,new
A,0,74.83,new
A,0,75.92,new
A,0,101.3,new
A,0,113.82,new
A,0,62.09,returning
A,0,126.39,returning
A,0,130.83,new
A,0,33.96,new
A,0,114.81,new
A,0,78.74,returning
A,1,145.71,returning
A,0,91.56,new
A,0,69.97,returning
A,0,61.87,returning
A,0,98.3,returning
A,0,79.26,returning
A,0,55.72,new
A,0,49.75,returning
A,0,103.64,returning
A,0,52.65,returning
A,0,35.94,returning
A,0,131.52,returning
A,0,64.74,returning
A,0,109.52,new
A,0,97.58,new
A,0,72.68,new
A,0,151.73,returning
A,0,115.75,new
A,0,89.52,new
A,0,66.94,returning
A,0,112.45,new
A,0,118.71,new
A,1,94.42,returning
A,0,90.35,new
A,0,115.64,new
A,0,88.76,new
A,0,69.51,returning
A,1,54.1,new
A,0,89.01,new
A,0,53.47,new
A,0,119.24,returning
A,0,89.02,new
A,0,125.78,new
A,0,100.23,returning
A,0,109.69,returning
A,0,71.81,new
A,0,86.9,new
A,0,99.74,returning
A,0,95.67,new
A,0,94.21,returning
A,0,61.59,new
A,0,45.13,new
A,0,60.01,new
A,0,32.32,new
A,0,47.58,returning
A,0,102.3,returning
A,1,82.9,returning
A,0,67.99,returning
A,0,82.32,new
A,0,41.54,returning
A,0,88.23,returning
A,0,55.55,new
A,0,138.06,returning
A,0,111.49,returning
A,1,108.07,new
A,1,95.08,new
A,0,114.9,new
A,0,88.4,returning
A,0,67.32,returning
A,0,108.73,returning
A,0,128.28,returning
A,1,62.88,new
A,0,49.95,returning
A,0,168.25,new
A,0,144.4,returning
A,0,91.76,new
A,1,38.02,new
A,0,99.93,new
A,0,200.66,new
A,0,114.57,new
A,0,111.15,new
A,1,89.33,new
A,0,107.56,returning
A,0,114.37,new
A,0,96.97,new
A,0,84.74,new
A,1,97.55,returning
