channel,avg_spend
A,97.14
A,81.36
A,69.86
A,91.25
A,99.03
A,131.82
A,102.34
A,117.69
A,91.01
A,78.67
A,82.63
A,86.95
A,138.31
A,85.22
A,115.09
A,83.75
A,116.77
A,106.93
A,97.18
A,99.27
A,88.21
A,108.03
A,91.81
A,77.94
A,77.0
A,103.11
A,128.42
A,102.88
A,97.86
A,105.14
A,123.51
A,103.95
A,92.6
A,119.91
A,107.72
A,127.64
A,103.3
A,77.96
A,75.37
A,129.72
A,131.03
A,96.77
A,93.1
A,126.31
A,80.07
A,83.89
A,111.58
A,92.9
A,99.91
A,97.06
A,106.08
A,125.33
A,101.63
A,111.59
A,63.1
A,99.12
A,84.82
A,78.06
A,84.19
A,93.99
A,116.49
A,76.12
A,100.55
A,91.28
A,94.1
A,118.05
A,109.69
A,124.07
A,97.22
A,87.47
A,95.97
A,104.36
A,103.18
A,80.48
A,101.63
A,104.11
A,145.31
A,133.78
A,84.64
A,94.83
A,73.66
A,89.37
A,105.68
A,121.71
A,86.88
A,88.23
A,61.35
A,97.07
A,80.88
A,90.47
A,84.22
A,98.3
A,68.36
A,73.59
A,138.33
A,76.83
A,80.26
A,133.06
A,152.29
A,78.91
A,93.37
A,106.15
A,131.12
A,82.24
A,95.58
A,113.99
A,107.83
A,93.23
A,97.59
A,75.25
A,95.71
A,95.21
A,104.18
A,90.0
A,108.49
A,118.23
A,102.8
A,106.33
A,100.96
A,100.0
A,87.01
A,105.7
A,98.25
A,137.68
A,128.32
A,106.95
A,86.26
A,79.98
A,121.44
A,104.73
A,108.64
A,68.6
A,116.69
A,108.18
A,80.01
A,91.51
A,104.75
A,100.94
A,94.74
A,98.14
A,95.46
A,102.75
A,126.49
A,53.8
A,95.74
A,103.18
A,105.33
A,93.31
A,68.38
A,105.9
A,131.09
A,72.39
A,115.55
A,94.09
A,98.9
A,81.05
A,93.98
A,123.4
A,110.49
A,131.18
A,121.19
A,107.9
A,131.39
A,107.9
A,114.9
A,94.66
A,101.2
A,87.45
A,117.81
A,78.79
A,114.08
A,96.57
A,121.08
A,113.52
A,132.77
A,113.15
A,71.7
A,98.79
A,78.9
A,90.67
A,127.2
A,111.48
A,87.42
A,81.75
A,100.59
A,78.1
A,87.92
A,105.62
A,120.8
A,110.96
A,58.76
A,105.48
A,101.3
A,107.45
A,129.09
A,62.86
A,89.36
A,110.64
A,71.53
A,126.57
B,109.63
B,118.24
B,92.72
B,117.65
B,122.23
B,107.19
B,107.22
B,107.87
B,87.46
B,100.34
B,100.25
B,109.9
B,121.0
B,83.95
B,100.75
B,129.67
B,89.62
B,88.2
B,106.64
B,118.2
B,103.21
B,126.92
B,118.42
B,118.15
B,112.97
B,144.9
B,99.31
B,66.94
B,131.88
B,94.76
B,104.94
B,126.57
B,74.16
B,80.47
B,74.18
B,88.71
B,110.91
B,112.44
B,107.97
B,77.57
B,61.42
B,103.98
B,94.51
B,111.27
B,115.64
B,105.49
B,116.68
B,107.13
B,112.54
B,90.32
B,99.77
B,106.54
B,117.77
B,95.91
B,112.38
B,98.21
B,100.88
B,117.93
B,67.12
B,79.66
B,76.32
B,60.99
B,90.79
B,116.49
B,97.87
B,106.56
B,122.61
B,126.9
B,101.76
B,127.36
B,104.66
B,87.93
B,92.3
B,76.35
B,87.01
B,96.56
B,117.46
B,133.97
B,78.12
B,110.07
B,84.27
B,111.54
B,100.64
B,70.04
B,119.71
B,92.11
B,93.39
B,83.74
B,91.22
B,110.7
B,99.59
B,108.92
B,109.51
B,126.77
B,96.83
B,76.42
B,122.21
B,97.03
B,123.06
B,109.9
B,100.64
B,109.28
B,138.12
B,140.39
B,104.25
B,105.88
B,122.37
B,87.78
B,109.0
B,102.53
B,108.65
B,88.0
B,74.39
B,65.69
B,82.89
B,94.74
B,97.72
B,137.87
B,122.91
B,85.68
B,109.26
B,95.67
B,97.88
B,106.34
B,114.15
B,96.89
B,122.15
B,82.45
B,103.11
B,149.76
B,107.02
B,128.8
B,104.65
B,113.45
B,101.98
B,99.93
B,88.97
B,110.75
B,87.67
B,114.98
B,122.54
B,109.6
B,97.85
B,111.17
B,97.44
B,119.84
B,70.03
B,96.96
B,67.17
B,76.09
B,127.55
B,119.11
B,90.05
B,75.95
B,49.64
B,93.22
B,146.57
B,110.83
B,92.93
B,111.37
B,74.9
B,97.65
B,104.79
B,101.45
B,117.23
B,109.2
B,115.03
B,90.61
B,119.16
B,132.32
B,85.54
B,87.02
B,127.04
B,99.56
B,128.27
B,95.03
B,129.19
B,105.37
B,107.65
B,131.16
B,96.49
B,86.06
B,94.93
B,111.14
B,74.82
B,114.47
B,93.3
B,123.66
B,59.9
B,88.84
B,72.64
B,88.13
B,107.46
B,99.77
B,98.44
B,100.13
B,106.66
B,84.85
B,115.72
B,114.93
C,114.93
C,118.02
C,113.34
C,144.63
C,106.43
C,102.47
C,94.44
C,89.42
C,85.6
C,92.0
C,106.73
C,114.02
C,108.92
C,94.22
C,124.2
C,121.31
C,105.13
C,96.25
C,117.87
C,111.38
C,81.93
C,106.78
C,112.72
C,91.81
C,111.42
C,81.81
C,132.05
C,130.46
C,103.45
C,114.54
C,64.62
C,87.19
C,102.71
C,88.7
C,120.86
C,143.95
C,86.82
C,92.93
C,112.24
C,137.0
C,86.0
C,112.48
C,140.78
C,78.27
C,84.94
C,100.38
C,98.63
C,122.63
C,112.35
C,76.05
C,117.28
C,97.6
C,130.94
C,96.7
C,96.54
C,117.74
C,121.73
C,116.07
C,77.66
C,117.68
C,89.38
C,112.23
C,82.37
C,116.03
C,93.48
C,84.91
C,120.85
C,112.35
C,96.95
C,134.12
C,100.07
C,108.58
C,112.84
C,96.85
C,116.48
C,98.4
C,100.59
C,132.53
C,89.27
C,64.57
C,137.0
C,153.89
C,100.71
C,73.14
C,102.41
C,102.85
C,104.58
C,87.96
C,118.43
C,117.44
C,81.1
C,120.59
C,144.95
C,111.1
C,101.93
C,105.44
C,119.07
C,76.85
C,110.96
C,100.97
C,141.26
C,104.86
C,138.02
C,88.13
C,118.57
C,113.75
C,92.36
C,111.19
C,129.83
C,102.17
C,77.54
C,107.68
C,91.76
C,101.84
C,106.53
C,77.3
C,78.92
C,116.68
C,98.59
C,61.83
C,122.13
C,112.9
C,95.15
C,84.3
C,123.04
C,114.29
C,150.89
C,115.56
C,114.98
C,105.0
C,122.7
C,119.25
C,130.53
C,98.62
C,100.16
C,99.38
C,122.23
C,134.97
C,99.74
C,100.35
C,113.65
C,103.58
C,125.14
C,67.47
C,93.12
C,93.92
C,66.23
C,90.65
C,91.53
C,104.38
C,128.03
C,103.59
C,89.45
C,106.97
C,126.89
C,90.43
C,91.61
C,118.05
C,104.01
C,119.65
C,107.75
C,120.63
C,89.37
C,107.78
C,104.21
C,86.11
C,79.86
C,120.34
C,101.68
C,89.6
C,106.27
C,128.3
C,66.95
C,81.06
C,91.39
C,134.3
C,113.09
C,121.81
C,87.48
C,87.85
C,116.06
C,109.05
C,117.88
C,104.62
C,113.01
C,110.85
C,122.0
C,122.53
C,78.84
C,67.55
C,126.03
C,129.38
C,89.63
C,74.52
C,109.78
C,124.76
C,140.36
C,117.29
C,101.31
C,91.92
D,115.21
D,109.61
D,96.73
D,151.88
D,147.13
D,135.45
D,98.42
D,130.39
D,126.51
D,122.97
D,137.49
D,126.44
D,128.32
D,126.46
D,121.13
D,82.89
D,116.51
D,104.99
D,91.96
D,145.27
D,146.12
D,139.47
D,119.59
D,139.31
D,115.22
D,118.65
D,95.32
D,122.15
D,116.09
D,91.55
D,114.08
D,113.56
D,147.36
D,131.1
D,115.21
D,119.48
D,115.8
D,111.35
D,95.52
D,112.28
D,101.57
D,92.49
D,124.2
D,122.04
D,82.84
D,112.79
D,132.92
D,134.07
D,133.47
D,115.7
D,99.79
D,95.49
D,121.2
D,121.83
D,138.17
D,134.8
D,112.62
D,92.6
D,109.26
D,118.91
D,111.36
D,104.6
D,119.55
D,105.93
D,103.69
D,120.61
D,107.76
D,119.39
D,119.92
D,94.49
D,106.34
D,140.88
D,94.08
D,76.9
D,81.49
D,115.52
D,115.56
D,112.88
D,136.86
D,66.89
D,122.13
D,143.11
D,94.7
D,108.16
D,101.45
D,98.9
D,109.13
D,140.69
D,148.07
D,108.95
D,149.29
D,115.64
D,146.57
D,113.32
D,117.36
D,121.58
D,172.22
D,130.32
D,102.27
D,132.44
D,108.49
D,106.18
D,131.35
D,115.56
D,120.01
D,115.25
D,121.06
D,122.65
D,80.13
D,127.0
D,97.32
D,89.04
D,113.95
D,116.51
D,102.52
D,129.96
D,90.84
D,107.68
D,104.47
D,114.16
D,120.02
D,96.86
D,128.04
D,116.13
D,80.94
D,79.75
D,114.78
D,111.02
D,113.14
D,114.5
D,119.06
D,132.06
D,95.0
D,93.9
D,95.32
D,120.2
D,137.41
D,107.24
D,69.97
D,84.33
D,100.01
D,104.96
D,107.65
D,115.69
D,109.39
D,133.89
D,102.83
D,99.48
D,123.62
