purchase_count,avg_spend,days_since_last_purchase,membership_days,support_tickets,contract_type,is_churned
8,85.41,3.8,102,0,month_to_month,0
7,92.08,94.1,356,2,month_to_month,1
7,68.52,24.6,81,1,one_year,0
2,111.91,30.2,312,2,one_year,0
6,126.82,43.0,104,1,month_to_month,0
3,84.38,5.2,247,1,one_year,0
8,88.54,22.3,60,0,one_year,0
3,107.68,5.5,161,1,month_to_month,0
7,60.95,16.9,238,3,one_year,0
8,90.45,3.0,268,2,month_to_month,0
5,113.33,18.6,322,0,month_to_month,0
6,198.51,6.2,303,1,month_to_month,0
2,80.87,21.6,203,3,month_to_month,0
3,103.3,31.8,131,1,month_to_month,0
5,73.57,85.6,117,2,month_to_month,1
3,47.28,27.4,362,0,month_to_month,0
9,74.63,32.8,233,1,one_year,0
5,58.75,0.5,334,1,one_year,0
7,88.23,28.9,175,0,month_to_month,0
3,112.36,16.1,192,0,month_to_month,0
3,121.28,26.7,306,1,month_to_month,0
4,148.96,7.9,272,2,one_year,0
6,95.53,16.2,97,0,two_year,0
5,134.01,63.6,205,0,month_to_month,0
3,58.13,28.8,101,2,one_year,0
5,88.37,49.8,284,0,one_year,0
4,96.0,21.0,40,1,two_year,0
7,143.6,4.2,307,1,month_to_month,0
3,139.2,0.0,341,1,month_to_month,0
11,112.46,20.6,37,1,one_year,1
4,53.93,25.0,241,1,month_to_month,0
5,143.98,11.4,56,1,month_to_month,0
5,173.95,23.8,150,0,month_to_month,0
3,194.49,46.0,142,1,month_to_month,0
7,97.37,17.0,204,0,one_year,0
4,135.47,37.5,337,3,one_year,0
4,77.91,93.4,184,2,month_to_month,1
3,137.33,52.9,163,1,two_year,0
7,85.84,14.8,61,2,month_to_month,1
5,94.82,7.8,327,1,two_year,0
8,153.46,24.2,135,1,month_to_month,0
4,171.99,59.8,184,1,one_year,0
4,89.55,33.3,60,0,two_year,0
3,160.0,80.9,126,1,one_year,1
1,89.06,85.7,215,0,one_year,0
2,97.47,20.0,331,2,month_to_month,0
7,115.71,45.9,140,3,one_year,0
3,110.79,20.2,217,1,one_year,0
3,98.27,0.1,323,0,month_to_month,0
2,91.71,168.3,150,1,two_year,1
